ORISPL,YEAR,PSTATABB,NAMEPCAP,CAPFAC,SECTOR,PLFUELCT,PLNGENAN,PLHTIAN,PLCO2AN,PLCO2RTA,TREATED,NEIGHBOR,POST
60376,2020,OH,962.0,0.7321,IPP Non-CHP,GAS,6169694.0,41547270.0,2469105.0,800.398,0,0,0
2840,2020,OH,2174.8,0.0564,IPP Non-CHP,COAL,1074494.0,11834871.0,1213470.0,2258.682,0,0,0
55247,2020,OH,564.0,0.0785,IPP Non-CHP,GAS,387871.0,4756106.0,281153.0,1449.724,0,0,0
2831,2020,OH,159.1,0.0028,IPP Non-CHP,GAS,3955.0,165845.0,9693.0,4901.501,0,0,0
2914,2020,OH,53.6,0.111,Electric Utility,COAL,52113.0,914217.0,93443.0,3586.171,0,0,0
55350,2020,OH,678.3,0.7764,Electric Utility,GAS,4613110.0,30093747.0,1788431.0,775.369,0,0,0
2837,2020,OH,1289.0,0.0,IPP Non-CHP,OIL,0.0,0.0,0.0,0.0,0,0,0
55701,2020,OH,739.5,0.2932,Electric Utility,GAS,1899225.0,25072740.0,1490053.0,1569.117,0,0,0
8102,2020,OH,2600.0,0.575,IPP Non-CHP,COAL,13095165.0,146937432.0,15075485.0,2302.451,0,0,0
55228,2020,OH,236.0,0.0475,Electric Utility,GAS,98143.0,1006238.0,59385.0,1210.173,0,0,0
2917,2020,OH,138.1,0.001,Electric Utility,GAS,1179.0,0.0,0.0,0.0,0,0,0
55736,2020,OH,1429.8,0.7575,IPP Non-CHP,GAS,9487656.0,70461680.0,4187432.0,882.712,0,0,0
56848,2020,OH,67.0,0.4603,IPP CHP,COAL,270139.0,1449369.0,84708.0,627.146,0,0,0
55110,2020,OH,692.0,0.0498,Electric Utility,GAS,302083.0,4064198.0,241522.0,1599.042,0,0,0
2832,2020,OH,1444.0,0.5287,IPP Non-CHP,COAL,6687340.0,68113794.0,6988482.0,2090.063,0,0,0
57822,2020,OH,67.0,0.5455,IPP CHP,COAL,320184.0,1708336.0,99844.0,623.665,0,0,0
59326,2020,OH,543.9,0.7107,IPP Non-CHP,GAS,3386139.0,23119568.0,1373968.0,811.525,0,0,0
